rank,symbol,company_name,market_cap,stock_price_cad,percent_change,revenue,exchange,source_url,yahoo_symbol,sector,industry,long_name,quote_type,lookup_status
522,WFC,Wall Financial Corporation,510.54M,16,-,179.24M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,WFC.TO,Consumer Cyclical,Lodging,Wall Financial Corporation,EQUITY,success
523,CLCH,Clinch Resources Ltd.,508.10M,1.43,2.88%,2.37M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,CLCH.TO,Basic Materials,Steel,,EQUITY,success
524,VHI,Vitalhub Corp.,507.97M,8.01,-0.25%,108.97M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,VHI.TO,Healthcare,Health Information Services,Vitalhub Corp.,EQUITY,success
525,IPO,InPlay Oil Corp.,505.77M,17.77,-1.61%,251.82M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,IPO.TO,Energy,Oil & Gas E&P,InPlay Oil Corp.,EQUITY,success
526,MHC.U,Flagship Communities Real Estate Investment Trust,503.87M,19.37,1.41%,141.75M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,MHC-U.TO,Real Estate,REIT - Residential,Flagship Communities Real Estate Investment Trust,EQUITY,success
527,MHC.UN,Flagship Communities Real Estate Investment Trust,503.87M,26.49,2.00%,141.75M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,MHC-UN.TO,Real Estate,REIT - Residential,Flagship Communities Real Estate Investment Trust,EQUITY,success
528,KBL,K-Bro Linen Inc.,503.16M,39.02,0.05%,506.78M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,KBL.TO,Industrials,Specialty Business Services,K-Bro Linen Inc.,EQUITY,success
529,VOXR,Vox Royalty Corp.,501.60M,7.33,0.69%,22.79M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,VOXR.TO,Basic Materials,Other Precious Metals & Mining,Vox Royalty Corp.,EQUITY,success
530,TRX,TRX Gold Corporation,501.42M,1.55,0.65%,129.78M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TRX.TO,Basic Materials,Gold,TRX Gold Corporation,EQUITY,success
531,TAL,PetroTal Corp.,496.97M,0.54,-,382.07M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TAL.TO,Energy,Oil & Gas E&P,PetroTal Corp.,EQUITY,success
532,PBL,Pollard Banknote Limited,490.47M,17.8,-1.77%,596.02M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,PBL.TO,Consumer Cyclical,Gambling,Pollard Banknote Limited,EQUITY,success
533,PLZ.UN,Plaza Retail REIT,489.36M,4.43,-1.12%,130.86M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,PLZ-UN.TO,Real Estate,REIT - Retail,Plaza Retail REIT,EQUITY,success
534,ETG,EntrÃ©e Resources Ltd.,488.06M,2.35,0.43%,-,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,ETG.TO,Basic Materials,Other Industrial Metals & Mining,Entrée Resources Ltd.,EQUITY,success
535,SBI,Serabi Gold plc,476.16M,6.27,-2.49%,213.69M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,SBI.TO,Basic Materials,Gold,Serabi Gold plc,EQUITY,success
536,KITS,Kits Eyecare Ltd.,473.83M,14.19,1.79%,202.46M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,KITS.TO,Consumer Cyclical,Specialty Retail,Kits Eyecare Ltd.,EQUITY,success
537,PZA,Pizza Pizza Royalty Corp.,468.19M,14.05,1.44%,40.79M,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,PZA.TO,Consumer Cyclical,Restaurants,Pizza Pizza Royalty Corp.,EQUITY,success
538,TCL.A,Transcontinental Inc.,466.73M,5.57,2.96%,2.75B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TCL-A.TO,Consumer Cyclical,Packaging & Containers,Transcontinental Inc.,EQUITY,success
539,TCL.B,Transcontinental Inc.,466.73M,6.92,-,2.75B,TSX,https://stockanalysis.com/list/toronto-stock-exchange/?page=2,TCL-B.TO,Consumer Cyclical,Packaging & Containers,Transcontinental Inc.,EQUITY,success
